Line #,IM GUI Item Attribute Set,IM GUI / Load Sheet (FUSE) Name,IM / Load Sheet (FUSE) XML Name,GDSN XML Name,GDSN BMS ID,DSD Attribute Name,DSD Qualifer Attribute Name,ContentSync Attribute Name,Mandatory/ Optional,Definition,Data Type,# of digits before the decimal (floats),Min Length (Non-floats)/ # of digits after the decimal (floats),Max Length (Non-floats)/ Total digits including decimal (floats),Global/Target Market Specific,Occurrence,Qualifier Type,Qual Valid Value List,"Correctable
 Attribute (Y/N)",Relationship Dependent Data (RDD) (Y/N),Additional Comments,Examples,Notes,# of Values allowed per Qualifier Type (Language/uom/currency),Last Revision Date,Revision
210,Accessories,Lens Filter Category,lensFilterCategory,N/A,N/A,N/A,,N/A,O,"Value to denote the filter which is avaialble for the product's lenses. Ex 0, 1, 2, 3",VV/LensFilterCategoryVV,,1,3,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
230,Accessories,Lens Size,lensSize,N/A,N/A,N/A,,N/A,O,Measurement to denote the size of the product's lenses as would be presented to a consumer.,ufloat,15,15,30,,0..Many,UOM,uom,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes"
250,Accessories,Lens Tint,lensTint,N/A,N/A,N/A,,N/A,O,"Term used to denote the color, shade or tint of the item's lens.",string,,1,4000,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
2/15/2021- Participant dictionary update only (documentation only) to add missing minimum and maximum field length to attribute metadata (IM 8.20)
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
270,Accessories,Plating,plating,N/A,N/A,N/A,,N/A,O,"Descriptive terms to denote the metal which is used to plate or cover the item. Use for items where the plating is a central feature, or important to the buying decision. ",string,,1,4000,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
2/15/2021- Participant dictionary update only (documentation only) to add missing minimum and maximum field length to attribute metadata (IM 8.20)
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
290,Allergen,Allergen Type Code,allergenRelatedInformation/allergen/allergenTypeCode,allergenInformationModule/allergenRelatedInformation/allergen/allergenTypeCode,375,S1ALLGNTC,,allergenTypeCode,M within O group,"Valid value to indicate a specific allergen.

Used to communicate allergen types to the buyer so retailer websites/stores can facilitate search and discovery for the consumer.",VV/FNBAllergenTypeCode,,1,80,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of FNBAllergenTypeCode,,Becomes required when any other attribute in the group is populated.,,9/1/2022,"9/1/2022- Updated the Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set"
310,Allergen,Allergen Containment Code,allergenRelatedInformation/allergen/levelOfContainmentCode,allergenInformationModule/allergenRelatedInformation/allergen/LevelofContainmentCode,376,S1ALLGNLC,,levelOfContainmentCode,M within O group,"Valid value to indicate the precision of an allergen in a product. 

Used to communicate to the consumer and the buyer the allergen containment status: Contains; May contain or Free from.",VV/FNBLevelOfContainment,,1,80,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of FNBLevelOfContainment,,"Previous IM GUI / Load Sheet (FUSE) Name was Level Of Containment. 
Becomes required when any other attribute in the group is populated.",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Level Of Containment. 
6/25/2021- Updated the value for IM GUI Item Attribute Set"
330,Allergen,Allergen Relevant Data Provided Date Time,allergenRelatedInformation/allergenRelevantDataProvidedDateTime,allergenInformationModule/allergenRelatedInformation/allergenRelevantDataProvidedDateTime,372,S3ALRDPDT,,allergenRelevantDataProvidedDateTime,O,The date upon which the isAllergenRelevantDataProvided indicator was last updated.,dateTime,,,,Target Market,0..1,,,N,N,,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
7/5/2017-Added with IM 8.1"
350,Allergen,Allergen Specification Agency,allergenRelatedInformation/allergenSpecificationAgency,allergenInformationModule/allergenRelatedInformation/allergenSpecificationAgency,368,S1ALLGNSA,,allergenSpecificationAgency,O,Note: This attribtue is being deprecated in a future release. There is no longer a use case for this attribute. No need to migrate content. Agency that controls the allergen definition.,string,,1,70,Target Market,0..1,,,N,N,,,,,7/19/2022,"7/19/2022- Updated Definition for GDSN release v3.1.20 (IM 8.30)
6/25/2021- Updated the value for IM GUI Item Attribute Set"
370,Allergen,Allergen Specification Name,allergenRelatedInformation/allergenSpecificationName,allergenInformationModule/allergenRelatedInformation/allergenSpecificationName,369,S1ALLGNSN,,allergenSpecificationName,O,Note: This attribtue is being deprecated in a future release. There is no longer a use case for this attribute. No need to migrate content. Free text field containing the name and version of the regulation or standard that contains the definition of the allergen.,string,,1,70,Target Market,0..1,,,N,N,,,,,7/19/2022,"7/19/2022- Updated Definition for GDSN release v3.1.20 (IM 8.30)
6/25/2021- Updated the value for IM GUI Item Attribute Set"
390,Allergen,Allergen Statement,allergenRelatedInformation/allergenStatement,allergenInformationModule/allergenRelatedInformation/allergenStatement,370,S1ALLGNST,,allergenStatement,O,"The statement to the consumer on the presence of allergens, based on local rules or regulations, as stated on the product packaging.

Used to indicate to the consumer and buyer the presence of allergens in a product.",string,,1,1000,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,Single,9/1/2022,"9/1/2022- Updated the Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set"
410,Allergen,Allergen Declarations Indicator,allergenRelatedInformation/isAllergenRelevantDataProvided,extension/allergenInformationModule/allergenRelatedInformation/isAllergenRelevantDataProvided,373,S3ARIARDP,,isAllergenRelevantDataProvided,O,"Indicator to confirm whether the relevant allergen data provided for the product is complete.

Used by the seller to confirm to the buyer that all relevant allergen information is complete.",VV/booleanVV,,,,Target Market,0..1,,,N,N,,"true
false","Previous IM GUI / Load Sheet (FUSE) Name was Allergen Relevant Data Provided?. 
",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Allergen Relevant Data Provided?.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
430,Allergen,Allergen Statement Formatting Pattern,allergenStatementFormattingPattern,catalogueItemNotification/catalogueItem/tradeItem/avpList/allergenStatementFormattingPattern,N/A,S1ASTFMPT,,allergenStatementFormattingPattern,O,the formatting pattern of text for allergen statement to generically emphasize a word or set of words and to denote a paragraph break. It will be up to the recipient to determine the formatting style they will use for the emphasized text.,string,,1,1000,Target Market,0..Many,,,N,N,,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
450,Allergen,Does Item Have Allergen Control Policy?,hasAllergenControlPolicy,N/A,N/A,S3HALCPOL,,hasAllergenControlPolicy,O,"If there is a risk for cross-contamination, does the food processing facility have an Allergen Control Policy?",VV/NonBinaryLogicCodes,,1,60,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of NonBinaryLogicCodes,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
470,Allergen,Is Item Hypo-Allergenic?,isItemHypoallergenic,N/A,N/A,S3ISITHYP,,isItemHypoallergenic,O,"Has the quantity of endogenous allergens in the item been reduced in such a way that it is not possible to detect the presence of any possible allergen with testing suitable for the specific allergen OR has the item been tested to confirm the absence of the particular allergen(s0, using suitable testing for the specific allergen(s).",VV/NonBinaryLogicCodes,,1,60,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of NonBinaryLogicCodes,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update Definition
"
490,Allergen,Is Item Cross Contaminated?,isTradeItemCrossContaminated,N/A,N/A,S3ISTICRC,,isTradeItemCrossContaminated,O,"Means the presence of any common allergen not intentionally added to a foodstuff, which is present in such foodstuff as a result of the cultivation, production, manufacturing, processing, preparation, treatment, packing, packaging, transport or holding of such foodstuff or as a result of environmental contamination",VV/NonBinaryLogicCodes,,1,60,Target Market,0..1,,,N,N,For a list of valid values for this attribute refer to the Valid Value Sheet under the Valid Value List name of NonBinaryLogicCodes,,,,6/25/2021,6/25/2021- Updated the value for IM GUI Item Attribute Set
510,Animal Feeding,Animal Breed,animalBreed,N/A,N/A,N/A,,N/A,O,Descriptive terms to denote the specific breed or species of animal which the product is or is targeted for use by.,string,,1,100,,0..Many,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
530,Animal Feeding,Animal Feeding Description On A Nutrient,animalFeeding/animalFeedingDetail/animalFeedingDescriptionOnANutrient,animalFeedingModule/animalFeeding/animalFeedingDetail/animalFeedingDescriptionOnANutrient,6260,S3AFDOAN,,animalFeedingDescriptionOnANutrient,O,Any description on a nutrient which cannot be expressed by using INFOODS code value,string,,1,1000,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,Multiple,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/30/2020 - Added new attribute for IM 8.14 rel"
550,Animal Feeding,Animal Feeding Description On Nutrient Qualifier,animalFeeding/animalFeedingDetail/animalNutrientDetail/animalFeedingDescriptionOnNutrientQualifier,animalFeedingModule/animalFeeding/animalFeedingDetail/animalNutrientDetail/animalFeedingDescriptionOnNutrientQualifier,6262,S3AFDOANQ,,N/A,O,"The qualifier from the descriptionOnNutrient applies to a specific nutrient. Sometimes an actual nutrient quantity or % are not given, instead only a qualifier. Example animalFeedingDescriptionOnNutrient = * Daily Value Intake does not apply. Then this would only be the * at the nutrient level. Examples include *, @, etc.",string,,1,20,Target Market,0..Many,,,N,N,,,,,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to update Definition
1/30/2020 - Added new attribute for IM 8.14 rel"
570,Animal Feeding,Animal Nutrient Target Percentage,animalFeeding/animalFeedingDetail/animalNutrientDetail/animalNutrientExactPercentage,animalFeedingModule/animalFeeding/animalFeedingDetail/animalNutrientDetail/animalNutrientExactPercentage,205,S3ANDANEP,,animalNutrientMinimumPercentage,O,The amount of the nutrient or energy element contained in the product as a percentage of Feeding Amount. Used to inform the consumer of the nutrient or energy element as a percentage of Feeding Amount.,ufloat,38,15,53,Target Market,0..1,,,N,N,,,"Previous IM GUI / Load Sheet (FUSE) Name was Animal Nutrient Exact Percentage. 
",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Animal Nutrient Exact Percentage.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
590,Animal Feeding,Animal Nutrient Maximum Percentage,animalFeeding/animalFeedingDetail/animalNutrientDetail/animalNutrientMaximumPercentage,animalFeedingModule/animalFeeding/animalFeedingDetail/animalNutrientDetail/animalNutrientMaximumPercentage,206,S3ANDNMXP,,animalNutrientQuantityContained,O,The highest amount of the nutrient or energy element that the product may contain as a percentage of Feeding Amount. Used to inform the consumer of the nutrient or energy element as a percentage of Feeding Amount.,ufloat,38,15,53,Target Market,0..1,,,N,N,,,,,9/1/2022,"9/1/2022- Updated the Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
610,Animal Feeding,Animal Nutrient Minimum Percentage,animalFeeding/animalFeedingDetail/animalNutrientDetail/animalNutrientMinimumPercentage,animalFeedingModule/animalFeeding/animalFeedingDetail/animalNutrientDetail/animalNutrientMiniimumPercentage,207,S3ANDNMNP,,animalNutrientQuantityContainedBasis,O,The lowest amount of the nutrient or energy element that the product may contain as a percentage of Feeding Amount. Used to inform the consumer of the nutrient or energy element as a percentage of Feeding Amount.,ufloat,38,15,53,Target Market,0..1,,,N,N,,,,,9/1/2022,"9/1/2022- Updated the Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
630,Animal Feeding,Animal Nutrient Quantity,animalFeeding/animalFeedingDetail/animalNutrientDetail/animalNutrientQuantityContained,animalFeedingModule/animalFeeding/animalFeedingDetail/animalNutrientDetail/animalNutrientQuantityContained,208,S3ANDANQC,S3ANDANQU,animalNutrientTypeCode,O,"The value, with its unit of measure, that indicates the amount of nutrient or energy element contained in the product as a defined quantity relative to Feeding Amount. Used to inform the consumer of the nutrient or energy element quantity relative to the Feeding Amount.",float,38,15,53,Target Market,0..Many,UOM,MassEnergyVolumeInfoStorageUOM,N,N,,,"Previous IM GUI / Load Sheet (FUSE) Name was Animal Nutrient Quantity Contained. 
",Single,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Animal Nutrient Quantity Contained.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
650,Animal Feeding,Animal Nutrient Code,animalFeeding/animalFeedingDetail/animalNutrientDetail/animalNutrientTypeCode,animalFeedingModule/animalFeeding/animalFeedingDetail/animalNutrientDetail/animalNutrientTypeCode,204,S3ANDANTC,,N/A,M within O group,"Valid value for the nutrient or energy element that is found in the product. 

Used to inform the consumer and the buyer of the nutrient or energy element that is found in the product.",VV/FNBNutrientTypeCode,,1,80,Target Market,0..1,,,N,N,This attribute will use the VV/FNBNutrientTypeCode Vald Values ist. Please refer to the IM Valid Values list for the NutrientTypeCode VV's.,,"Previous IM GUI / Load Sheet (FUSE) Name was Animal Nutrient Type Code. 
",,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Animal Nutrient Type Code.
5/11/2022- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Corrected Data Type. "
670,Animal Feeding,Animal Nutrient Quantity Contained Basis,animalFeeding/animalFeedingDetail/animalNutrientQuantityContainedBasis,animalFeedingModule/animalFeeding/animalFeedingDetail/animalNutrientQuantityContainedBasis,414,S3AFDNQCB,S3AFDNQCU,N/A,O,"The basis amount that the animal nutrient quantity contained is measured against for example, 12 Kilograms in the case of 3 grams per 12 kilogram.",float,38,15,53,Target Market,0..Many,UOM,MassEnergyVolumeInfoStorageUOM,N,N,,,,Single,6/25/2021,"6/25/2021- Updated the value for IM GUI Item Attribute Set 
5/3/2021- Participant dictionary update only (documentation only) to correct the # of digits before the decimal (floats), Min Length (Non-floats)/ Total digits including decimal (floats), and Max Length (Non-floats)/ # of digits after the decimal (floats) for float attributes
8/18/2016 - New attribute for Nov 2016 release"
690,Animal Feeding,Feeding Amount,animalFeeding/animalFeedingDetail/feedingAmount,animalFeedingModule/animalFeeding/animalFeedingDetail/feedingAmount,416,S3AFDFA,S3AFDFAU,feedingAmount,O,The amount of feed (with its unit of measure) that is specified on the product label. This may be associated with the feed life-stage and qualified by the weight of the animal being fed. Used to inform the consumer of the correct amount of the product to feed the animal.,float,38,15,53,Target Market,0..Many,UOM,MassVolumeCountUOM,N,N,,,,Single,9/1/2022,"9/1/2022- Updated the Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
710,Animal Feeding,Feeding Amount Basis Description,animalFeeding/animalFeedingDetail/feedingAmountBasisDescription,animalFeedingModule/animalFeeding/animalFeedingDetail/feedingAmountBasisDescription,418,S3AFDFABD,,feedingAmountBasisDescription,O,"The basis code to qualify the feeding amounts being specified. For example, per day.",string,,1,500,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,,Single,9/22/2022,"9/22/2022- DOCUMENTATION CHANGE ONLY- Updated the Definition for IM 8.32..
6/25/2021- Updated the value for IM GUI Item Attribute Set 
8/18/2016 - New attribute for Nov 2016 release"
730,Animal Feeding,Maximum Feeding Amount,animalFeeding/animalFeedingDetail/maximumFeedingAmount,animalFeedingModule/animalFeeding/animalFeedingDetail/maximumFeedingAmount,420,S3AFDMXFA,S3AFDMXFU,maximumFeedingAmount,O,"The largest amount of product (with its unit of measure) specified for the animal being fed as defined by the manufacturer. Used to inform the consumer of the maximum amount of the product to feed the animal.

Used in conjunction with Minimum Feeding Amount if a range is being specified. If a single amount is to be specified, use Feeding Amount, instead.",float,38,15,53,Target Market,0..Many,UOM,MassVolumeCountUOM,N,N,,,,Single,9/1/2022,"9/1/2022- Updated the Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
750,Animal Feeding,Minimum Feeding Amount,animalFeeding/animalFeedingDetail/minimumFeedingAmount,animalFeedingModule/animalFeeding/animalFeedingDetail/minimumFeedingAmount,422,S3AFDMNFA,S3AFDMNFU,minimumFeedingAmount,O,"The least amount of product (with its unit of measure) specified for the animal being fed as defined by the manufacturer. Used to inform the consumer of the minimum amount of the product to feed the animal.

Used in conjunction with Maximum Feeding Amount if a range is being specified. If a single amount is to be specified, use Feeding Amount, instead.",float,38,15,53,Target Market,0..Many,UOM,MassVolumeCountUOM,N,N,,,,Single,9/1/2022,"9/1/2022- Updated the Definition for IM 8.31.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
770,Animal Feeding,Feeding Frequency,animalFeeding/animalFeedingDetail/recommendedFrequencyOfFeeding,animalFeedingModule/animalFeeding/animalFeedingDetail/recommendedFrequencyOfFeeding,424,S3AFDRFOF,,recommendedFrequencyOfFeeding,O,"The recommended frequency to feed an animal the quantity of feed within a time period for the specified feed life-stage. Used to inform consumers of the time period in which and/or how often the animal is recommended to be fed with the specified feeding amount.

Used in conjunction with: Animal Feed Target Life Stage, Feeding Amount, Minimum Feeding Amount, Maximum Feeding Amount, Minimum Weight of Animal Being Fed, Maximum Weight of Animal Being Fed, Feeding Instructions.",string,,1,500,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,"Previous IM GUI / Load Sheet (FUSE) Name was Recommended Frequency Of Feeding. 
",Single,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Recommended Frequency Of Feeding.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
790,Animal Feeding,Animal Target Size Code,animalFeeding/animalTargetSizeCode,animalFeedingModule/﻿animalFeeding/animalTargetSizeCode,7098,S3AFATSC,,N/A,O,"﻿The code, as defined by the seller, that describes the generic size of the animal, in relation to its species, for product usage.",VV/AnimalTargetSizeCode,,,,Global/Target Market Specific,0..Many,,,,N,,,,,2/24/2023,"2/24/2023- Corrected values in the Global/Target Market Specific and Relationship Dependent Data (RDD) columns
2/3/2023- Updated the DSD Attribute information for this attribute for GDSN v3.1.22 (IM 8.34)
1/18/2023- Add attribute for GDSN Release v3.1.22 (IM 8.1.34)"
810,Animal Feeding,Animal Feed Target Life Stage,animalFeeding/feedLifestage,animalFeedingModule/animalFeeding/feedLifestage,399,S3AFFL,,feedLifestage,O,"The description of the intended life stage of the animal that will consume the feed/animal food. Used by the consumer to understand the life stage of the animal for the specified feeding amount within the animal’s life stage.
Used by the consumer for search and discovery.",string,,1,500,Target Market,0..Many,Language,StandardLanguageCodes,N,N,,,"Previous IM GUI / Load Sheet (FUSE) Name was Feed Life Stage. 
",Single,9/1/2022,"9/1/2022- Updated IM GUI / Load Sheet (FUSE) Name and Definition for IM 8.31. Previous IM Attribute GUI Name was Feed Life Stage.
6/25/2021- Updated the value for IM GUI Item Attribute Set "
830,Animal Feeding,Feed Lifestage Code,animalFeeding/feedLifestageCode,animalFeedingModule/﻿animalFeeding/feedLifeStageCode,7100,S3AFFLC,,N/A,O,"﻿The code, as defined by the seller, that describes the generic life stage(s) of the animal for product usage.  ",VV/FeedLifestageCode,,,,Global/Target Market Specific,0..Many,,,,N,,,,,2/24/2023,"2/24/2023- Corrected values in the Global/Target Market Specific and Relationship Dependent Data (RDD) columns
2/3/2023- Updated the DSD Attribute information for this attribute for GDSN v3.1.22 (IM 8.34)
1/18/2023- Add attribute for GDSN Release v3.1.22 (IM 8.1.34)"
